Operation_ID,Op_role,ID,Tie_ID,Tie_Year,Tie_Extinguish,Kinship,1985_1989,1990_1994
24,,151,153,1985,2002,0,1,1
24,,151,155,1982,2002,0,1,2
24,,151,160,1995,2002,0,,
24,,151,162,1995,2002,0,,
24,,151,163,1995,2002,0,,
24,,151,175,1970-1979,2002. Resumed 2006,0,1,1
24,,151,177,1995-1999,2002. Resumed 2006,0,,
24,,151,180,1993,2002,0,,1
24,,151,183,1995,2002. Resumed 2006,0,,
24,,151,189,2000,2002. Resumed 2006,0,,
24,,151,650,1998,2002,0,,
24,,151,1579,1995-1999,2002,0,,
24,,153,151,1985,2002,0,1,1
24,,153,155,1987,2002,0,1,1
24,,153,160,1995,2002,0,,
24,,153,162,1995,2002,0,,
24,,153,163,1995,2003,0,,
24,,153,175,1987,2003,0,1,1
24,,153,176,2000,2003,0,,
24,,153,177,1995-1999,2003,0,,
24,,153,180,1995,2002,0,,
24,,153,183,1995,2003,0,,
24,,153,189,2000,2003,0,,
24,,153,650,1994,2003,0,,1
24,,153,1549,2000,2003,0,,
24,,153,1564,2000,2003,0,,
24,,153,1576,2000,2003,0,,
24,,153,1579,1995-1999,2003,0,,
24,,155,151,1982,2002,0,1,2
24,,155,153,1987,2002,0,1,1
24,,155,160,1995,2002,0,,
24,,155,162,Birth,2002,3,3,3
24,,155,163,Birth,2002,3,3,3
24,,155,175,1979,2002,0,1,1
24,,155,176,2002,2002,0,,
24,,155,177,1995-1999,2002,0,,
24,,155,180,1993,2002,0,,1
24,,155,183,1995,2002,0,,
24,,155,189,1999,2002,0,,
24,,155,524,2002,2002,0,,
24,,155,588,2002,2002,0,,
24,,155,650,2000,2001,0,,
24,,155,1532,2002,2002,0,,
24,,155,1564,1980-1989,2002,0,1,1
24,,155,1576,2002,2002,0,,
24,,155,1579,1995-1999,2002,0,,
24,,155,1597,2002,2002,0,,
24,,160,151,1995,2002,0,,
24,,160,153,1995,2002,0,,
24,,160,155,1995,2002,0,,
24,,160,162,1994,2002,0,,1
24,,160,163,1991,2002,0,,1
24,,160,175,1991,2002,0,,1
24,,160,176,2002,2002,0,,
24,,160,177,1995-1999,2002,0,,
24,,160,180,1995,2002,0,,
24,,160,183,1991,2002,0,,1
24,,160,189,2000,2002,0,,
24,,160,524,2002,2002,0,,
24,,160,588,2002,2002,0,,
24,,160,590,2002,2002,0,,
24,,160,1503,2001,2002,0,,
24,,160,1512,2002,2002,0,,
24,,160,1513,2002,2002,0,,
24,,160,1529,1988,2002,0,2,2
24,,160,1532,2002,2002,0,,
24,,160,1549,1991,2002,0,,1
24,,160,1564,1991,2002,0,,1
24,,160,1576,1991,2002,0,,1
24,,160,1579,1995-1999,2002,0,,
24,,160,1594,2002,2002,0,,
24,,160,1597,,2002,0,,
24,,162,151,1995,2002,0,,
24,,162,153,1995,2002,0,,
24,,162,155,Birth,2002,3,3,3
24,,162,160,1994,2002,0,,1
24,,162,163,Birth,2002,3,3,3
24,,162,175,1994,2002,0,,1
24,,162,176,2000,2002,0,,
24,,162,177,1995-1999,2002,0,,
24,,162,180,1993,2002,0,,1
24,,162,183,1995,2002,0,,
24,,162,1532,2002,2002,0,,
24,,162,1549,2000,2002,0,,
24,,162,1564,1980-1989,2002,0,1,1
24,,162,1576,2002,2002,0,,
24,,162,1579,1995-1999,2002,0,,
24,,162,1597,1995,2002,0,,
24,,163,151,1995,2002,0,,
24,,163,153,1995,2003,0,,
24,,163,155,Birth,2002,3,3,3
24,,163,160,1991,2002,0,,1
24,,163,162,Birth,2002,3,3,3
24,,163,175,1991,2003,0,,1
24,,163,176,2000,2003,0,,
24,,163,177,1995-1999,2003,0,,
24,,163,180,1995,2002,0,,
24,,163,183,1991,2003,0,,1
24,,163,524,2002,2002,0,,
24,,163,588,2002,2002,0,,
24,,163,590,2002,2002,0,,
24,,163,1532,2002,2002,0,,
24,,163,1549,1991,2003,0,,1
24,,163,1564,1980-1989,2003,0,2,2
24,,163,1576,1991,2003,0,,1
24,,163,1579,1995-1999,2003,0,,
24,,163,1597,,2003,0,,
