Operation_ID,ID,Op_role,Tie_ID,Tie_Year,Tie_Extinguish,Kinship,1985_1989,1990_1994
16,151,,153,1985,2002,0,1,1
16,151,,155,1982,2002,0,1,2
16,151,,160,1995,2002,0,,
16,151,,162,1995,2002,0,,
16,151,,163,1995,2002,0,,
16,151,,180,1993,2002,0,,1
16,151,,183,1995,2002. Resumed 2006,0,,
16,151,,189,2000,2002. Resumed 2006 ,0,,
16,151,,193,1987,2001,0,1,1
16,151,,368,1987,2001,0,1,1
16,151,,373,1991,2001,0,,1
16,151,,376,1989,2001,0,1,1
16,151,,538,1987,2000,0,1,1
16,151,,542,1988,2002,0,1,1
16,151,,650,1998,2002,0,,
16,151,,1579,1995-1999,2002,0,,
16,153,,151,1985,2002,0,1,1
16,153,,155,1987,2002,0,1,1
16,153,,160,1995,2002,0,,
16,153,,162,1995,2002,0,,
16,153,,163,1995,2003,0,,
16,153,,164,1995-1999,2001,0,,
16,153,,176,2000,2003,0,,
16,153,,180,1995,2002,0,,
16,153,,183,1995,2003,0,,
16,153,,189,2000,2003,0,,
16,153,,193,1987,2001,0,1,1
16,153,,368,1990-1994,2001,0,,1
16,153,,373,1990-1999,2001,0,,
16,153,,376,1993,2001,0,,1
16,153,,538,1987,2000,0,2,2
16,153,,539,1998,2001,0,,
16,153,,542,1987,2003,0,1,1
16,153,,546,1998,2003,0,,
16,153,,650,1994,2003,0,,1
16,153,,1502,2000,2003,0,,
16,153,,1564,2000,2003,0,,
16,153,,1565,2000,2003,0,,
16,153,,1573,2000,2003,0,,
16,153,,1576,2000,2003,0,,
16,153,,1577,2000,2002,0,,
16,153,,1579,1995-1999,2003,0,,
16,153,,1588,1998,2001,0,,
16,153,,2360,2000,2003,0,,
16,155,,151,1982,2002,0,1,2
16,155,,153,1987,2002,0,1,1
16,155,,160,1995,2002,0,,
16,155,,162,Birth,2002,3,3,3
16,155,,163,Birth,2002,3,3,3
16,155,,164,2000,2002,0,,
16,155,,180,1993,2002,0,,1
16,155,,183,1995,2002,0,,
