Operation_ID,Op_role,ID,Tie_ID,Tie_Year,Tie_Extinguish,Kinship,1985_1989,1990_1994
38,,3100,3101,1995,2001,0,,
38,,3100,3104,1995,2001-2,0,,
38,,3100,3106,2000-2,2001-2,0,,
38,,3100,318,1999,2001-2,0,,
38,,3100,3133,1996,2000-2,0,,
38,,3100,3135,2001-2,2001-2,0,,
38,,3101,3100,1995,2001,0,,
38,,3104,3100,1995,2001-2,0,,
38,,3104,3106,2000-2,2000-2,0,,
38,,3104,318,1999,2001-1,0,,
38,,3104,3133,1996,2000-1,0,,
38,,3104,3138,2001-2,2001-2,0,,
38,,3106,3100,2000-2,2001-2,0,,
38,,3106,3104,2000-2,2000-2,0,,
38,,3106,318,1999,2001-2,0,,
38,,3106,3132,2001-1,2001-2,0,,
38,,3106,3136,2001-1,2001-2,0,,
38,,3106,3138,2001-2,2001-2,0,,
38,,318,3100,1999,2001-2,0,,
38,,318,3104,1999,2001-1,0,,
38,,318,3106,1999,2001-2,0,,
38,,3132,3106,2001-1,2001-2,0,,
38,,3132,3134,1999,2004-1,0,,
38,,3132,3135,2000,2004-1,0,,
38,,3132,3136,2001,2003-1,1,,
38,,3132,3137,2002-2,2002-2,0,,
38,,3132,3138,2002-2,2002-2,0,,
38,,3132,3139,2003-2,2003-2,0,,
38,,3132,3140,2003-1,2003-2,0,,
38,,3132,3141,2004-1,2004-1,0,,
38,,3132,3142,2002-2,2002-2,0,,
38,,3132,3143,2002-2,2002-2,0,,
38,,3132,3144,2003-2,2004-1,0,,
38,,3132,3145,2003-2,2004-1,0,,
38,,3132,3147,2003-2,2004-1,0,,
38,,3132,3148,2003-2,2004-1,0,,
38,,3132,3149,2003-1,2004-1,0,,
38,,3132,3150,2004-1,2004-1,0,,
38,,3132,3156,2002-2,2003-2,0,,
38,,3132,3157,1996,2004-1,0,,
38,,3132,3161,2002-2,2002-2,0,,
38,,3132,3162,2004-1,2004-1,0,,
38,,3132,3179,2002-2,2004-1,0,,
38,,3132,3180,2003-2,2004-1,0,,
38,,3133,3100,1996,2000-2,0,,
38,,3133,3104,1996,2000-1,0,,
38,,3134,3132,1999,2004-1,0,,
38,,3134,3140,2003-1,2003-2,0,,
38,,3134,3141,2004-1,2004-1,0,,
38,,3134,3144,2003-2,2004-1,0,,
38,,3134,3145,2003-2,2004-1,0,,
38,,3134,3147,2003-2,2004-1,,,
38,,3134,3148,2003-2,2004-1,0,,
38,,3134,3149,2003-2,2004-1,0,,
38,,3134,3156,2003-2,2004-1,0,,
38,,3134,3157,2002-1,2004-1,0,,
38,,3134,3161,2002-1,2002-2,0,,
38,,3134,3162,2003-2,2004-1,0,,
38,,3134,3180,2002-1,2004-1,0,,
38,,3135,3100,2001-2,2001-2,0,,
38,,3135,3132,2000,2004-1,0,,
