Operation_ID,ID,Op_role,Tie_ID,Tie_Year,Tie_Extinguish,Kinship,1985_1989,1990_1994
36,151,,153,1985,2002,0,1,1
36,151,,155,1982,2002,0,1,2
36,151,,159,1983,2002,0,1,1
36,151,,162,1995,2002,0,,
36,151,,163,1995,2002,0,,
36,151,,183,1995,2002. Resumed 2006,0,,
36,151,,189,2000,2002. Resumed 2006,0,,
36,151,,193,1987,2001,0,1,1
36,151,,368,1987,2001,0,1,1
36,151,,650,1998,2002,0,,
36,151,,1567,1987,2002. Resumed 2006,0,1,1
36,153,,151,1985,2002,0,1,1
36,153,,155,1987,2002,0,1,1
36,153,,159,1995-1999,2002,0,,
36,153,,162,1995,2002,0,,
36,153,,163,1995,2003,0,,
36,153,,183,1995,2003,0,,
36,153,,189,2000,2003,0,,
36,153,,193,1987,2001,0,1,1
36,153,,368,1990-1994,2001,0,,1
36,153,,650,1994,2003,0,,1
36,153,,1502,2000,2003,0,,
36,153,,1549,2000,2003,0,,
36,153,,1564,2000,2003,0,,
36,153,,1567,1987,2002,0,1,1
36,155,,151,1982,2002,0,1,2
36,155,,153,1987,2002,0,1,1
36,155,,162,Birth,2002,3,3,3
36,155,,163,Birth,2002,3,3,3
36,155,,183,1995,2002,0,,
36,155,,189,1999,2002,0,,
36,155,,193,1987,2001,1,1,1
36,155,,368,1989,2001,0,1,1
36,155,,650,2000,2001,0,,
36,155,,1567,1987,2002,0,1,1
36,159,,151,1983,2002,0,1,1
36,159,,153,1995-1999,2002,0,,
36,159,,162,2000,2002,1,,
36,159,,163,1991,2002,0,,1
36,159,,183,1990,2002,0,,1
36,159,,193,2000,2001,0,,
36,159,,368,1991,2001,0,,1
36,159,,1502,2000,2002,0,,
36,159,,1549,1991,2002,0,,1
36,159,,1564,1990,2002,0,,1
36,159,,1567,2000,2002,0,,
36,162,,151,1995,2002,0,,
36,162,,153,1995,2002,0,,
36,162,,155,Birth,2002,3,3,3
36,162,,159,2000,2002,0,,
36,162,,163,Birth,2002,3,3,3
36,162,,183,1995,2002,0,,
36,162,,193,2000,2001,0,,
36,162,,368,1997,2001,0,,
36,162,,587,2000,2002,0,,
36,162,,1502,2000,2002,0,,
36,162,,1549,2000,2002,0,,
36,162,,1564,1989,2002,0,1,1
36,162,,1567,2000,2002,0,,
36,163,,151,1995,2002,0,,
36,163,,153,1995,2003,0,,
36,163,,155,Birth,2002,3,3,3
36,163,,159,1991,2002,0,,1
36,163,,162,Birth,2002,3,3,3
36,163,,183,1991,2003,0,,1
36,163,,368,1991,2001,0,,1
36,163,,1549,1991,2003,0,,1
36,163,,1564,1980-1989,2003,0,2,2
36,163,,1567,2000,2002,0,,
36,183,,151,1995,2002. Resumed 2006,0,,
36,183,,153,1995,2003,0,,
36,183,,155,1995,2002,0,,
36,183,,159,1990,2002,0,,1
36,183,,162,1995,2002,0,,
36,183,,163,1991,2003,0,,1
36,183,,368,1991,2001,0,,1
36,183,,1549,1991,2003,0,,1
36,183,,1564,1990,2003,0,,1
36,183,,1567,2000,2002. Resumed 2004,0,,
36,189,,151,2000,2002. Resumed 2006,0,,
36,189,,153,2000,2003,0,,
36,189,,155,1999,2002,0,,
36,189,,368,2000,2001,0,,
36,193,,151,1987,2001,0,1,1
36,193,,153,1987,2001,0,1,1
36,193,,155,1987,2001,1,1,1
36,193,,159,2000,2001,0,,
36,193,,162,2000,2001,0,,
36,193,,1502,2000,2001,0,,2
36,193,,1567,1987,2001,0,1,1
36,368,,151,1987,2001,0,1,1
36,368,,153,1990-1994,2001,0,,1
36,368,,155,1989,2001,0,1,1
36,368,,159,1991,2001,0,,1
36,368,,162,1997,2001,0,,
36,368,,163,1991,2001,0,,1
36,368,,183,1991,2001,0,,1
36,368,,189,2000,2001,0,,
36,368,,650,1999,2001,0,,
36,368,,1549,1991,2001,0,,1
36,368,,1564,1991,2001,0,,1
36,587,,162,2000,2002,0,,
36,650,,151,1998,2002,0,,
36,650,,153,1994,2003,0,,1
36,650,,155,2000,2001,0,,
36,650,,368,1999,2001,0,,
36,1502,,153,2000,2003,0,,
36,1502,,159,2000,2002,0,,
36,1502,,162,2000,2002,0,,
36,1502,,193,1992,2001,0,,2
36,1502,,1567,Birth,2002,3,3,3
36,1549,,153,2000,2003,0,,
36,1549,,159,1991,2002,0,,1
36,1549,,162,2000,2002,0,,
36,1549,,163,1991,2003,0,,1
36,1549,,183,1991,2003,0,,1
36,1549,,368,1991,2001,0,,1
36,1549,,1564,1991,2003,0,,1
36,1549,,1567,2000,2002,0,,
36,1564,,153,2000,2003,0,,
36,1564,,159,1990,2002,0,,1
36,1564,,162,1980-1989,2002,0,1,1
36,1564,,163,1980-1989,2003,0,2,2
36,1564,,183,1990,2003,0,,1
36,1564,,368,1991,2001,0,,1
36,1564,,1549,1991,2003,0,,1
36,1564,,1567,2000,2002,0,,
36,1567,,151,1987,2002. Resumed 2006,0,1,1
36,1567,,153,1987,2002,0,1,1
36,1567,,155,1987,2002,0,1,1
36,1567,,159,2000,2002,0,,
36,1567,,162,2000,2002,0,,
36,1567,,163,2000,2002,0,,
36,1567,,183,2000,2002. Resumed 2004,0,,
36,1567,,193,1987,2001,0,1,1
36,1567,,1502,Birth,2002,3,3,3
36,1567,,1549,2000,2002,0,,
36,1567,,1564,2000,2002,0,,
