Operation_ID,Op_role,ID,Tie_ID,Tie_Year,Tie_Extinguish,Kinship,1985_1989,1990_1994
"16,24,36",,151,153,1985,2002,0,1,1
"16,24,36",,151,155,1982,2002,0,1,2
36,,151,159,1983,2002,0,1,1
"16,24",,151,160,1995,2002,0,,
"16,24,36",,151,162,1995,2002,0,,
"16,24,36",,151,163,1995,2002,0,,
24,,151,175,1970s,2002. Resumed 2006,0,1,1
24,,151,177,1995-1999,2002. Resumed 2006,0,,
"16,24",,151,180,1993,2002,0,,1
"16,24,36",,151,183,1995,2002. Resumed 2006,0,,
"16,24,36",,151,189,2000,2002. Resumed 2006,0,,
"16,36",,151,193,1987,2001,0,1,1
"16,36",,151,368,1987,2001,0,1,1
16,,151,373,1991,2001,0,,1
16,,151,376,1989,2001,0,1,1
16,,151,538,1987,2000,0,1,1
16,,151,542,1988,2002,0,1,1
"16,24,36",,151,650,1998,2002,0,,
36,,151,1567,1987,2002. Resumed 2006,0,1,1
"16,24",,151,1579,1995-1999,2002,0,,
"16,24,36",,153,151,1985,2002,0,1,1
"16,24,36",,153,155,1987,2002,0,1,1
36,,153,159,1995-1999,2002,0,,
"16,24",,153,160,1995,2002,0,,
"16,24,36",,153,162,1995,2002,0,,
"16,24,36",,153,163,1995,2003,0,,
16,,153,164,2000,2001,0,,
24,,153,175,1987,2003,0,1,1
"16,24",,153,176,2000,2003,0,,
24,,153,177,1995-1999,2003,0,,
"16,24",,153,180,1995,2002,0,,
"16,24,36",,153,183,1995,2003,0,,
"16,24,36",,153,189,2000,2003,0,,
"16,36",,153,193,1987,2001,0,1,1
"16,36",,153,368,1990-1994,2001,0,,1
16,,153,373,1990s,2001,0,,
16,,153,376,1993,2001,0,,1
16,,153,538,1987,2000,0,2,2
16,,153,539,1998,2001,0,,
16,,153,542,1987,2003,0,1,1
16,,153,546,1998,2003,0,,
"16,24,36",,153,650,1994,2003,0,,1
"16,36",,153,1502,2000,2003,0,,
"24,36",,153,1549,2000,2003,0,,
"16,24,36",,153,1564,2000,2003,0,,
16,,153,1565,2000,2003,0,,
36,,153,1567,1987,2002,0,1,1
16,,153,1573,2000,2003,0,,
"16,24",,153,1576,2000,2003,0,,
16,,153,1577,2000,2002,0,,
"16,24",,153,1579,1995-1999,2003,0,,
16,,153,1588,1998,2001,0,,
16,,153,2360,2000,2003,0,,
"16,24,36",,155,151,1982,2002,0,1,2
"16,24,36",,155,153,1987,2002,0,1,1
"16,24",,155,160,1995,2002,0,,
"16,24,36",,155,162,Birth,2002,3,3,3
"16,24,36",,155,163,Birth,2002,3,3,3
16,,155,164,2000,2002,0,,
24,,155,175,1979,2002,0,1,1
24,,155,176,2002,2002,0,,
24,,155,177,1995-1999,2002,0,,
"16,24",,155,180,1993,2002,0,,1
"16,24,36",,155,183,1995,2002,0,,
"16,24,36",,155,189,1999,2002,0,,
"16,36",,155,193,1987,2001,1,1,1
"16,36",,155,368,1989,2001,0,1,1
16,,155,373,1989,2001,1,1,1
16,,155,376,1995,2001,0,,
24,,155,524,2002,2002,0,,
16,,155,538,1987,2000,0,1,1
16,,155,539,2000,2001,0,,
16,,155,542,1987,2002,0,1,1
24,,155,588,2002,2002,0,,
"16,24,36",,155,650,2000,2001,0,,
24,,155,1532,2002,2002,0,,
24,,155,1564,1980s,2002,0,1,1
16,,155,1565,2000,2002,0,,
36,,155,1567,1987,2002,0,1,1
24,,155,1576,2002,2002,0,,
16,,155,1577,2000,2002,0,,
"16,24",,155,1579,1995-1999,2002,0,,
24,,155,1597,2002,2002,0,,
36,,159,151,1983,2002,0,1,1
36,,159,153,1995-1999,2002,0,,
36,,159,162,2000,2002,1,,
36,,159,163,1991,2002,0,,1
36,,159,183,1990,2002,0,,1
36,,159,193,2000,2001,0,,
36,,159,368,1991,2001,0,,1
36,,159,1502,2000,2002,0,,
36,,159,1549,1991,2002,0,,1
36,,159,1564,1990,2002,0,,1
36,,159,1567,2000,2002,0,,
"16,24",,160,151,1995,2002,0,,
"16,24",,160,153,1995,2002,0,,
"16,24",,160,155,1995,2002,0,,
"16,24",,160,162,1994,2002,0,,1
"16,24",,160,163,1991,2002,0,,1
16,,160,164,2000,2001,0,,
24,,160,175,1991,2002,0,,1
24,,160,176,2002,2002,0,,
24,,160,177,1995-1999,2002,0,,
"16,24",,160,180,1995,2002,0,,
"16,24",,160,183,1991,2002,0,,1
"16,24",,160,189,2000,2002,0,,
16,,160,193,1999,2001,0,,
16,,160,368,1991,2001,0,,1
16,,160,373,1991,2001,0,,1
16,,160,376,1991,2001,0,,1
24,,160,524,2002,2002,0,,
16,,160,538,1991,2000,0,,2
16,,160,539,2000,2001,0,,
16,,160,540,2000,2002,0,,
16,,160,543,1991,2000,0,,1
24,,160,588,2002,2002,0,,
24,,160,590,2002,2002,0,,
16,,160,1502,2000,2002,0,,
24,,160,1503,2001,2002,0,,
24,,160,1512,2002,2002,0,,
24,,160,1513,2002,2002,0,,
24,,160,1529,1988,2002,0,2,2
24,,160,1532,2002,2002,0,,
16,,160,1546,1991,2001,0,,1
24,,160,1549,1991,2002,0,,1
"16,24",,160,1564,1991,2002,0,,1
16,,160,1565,2000,2002,0,,
16,,160,1566,1991,2000,0,,1
16,,160,1573,1991,2002,0,,1
"16,24",,160,1576,1991,2002,0,,1
16,,160,1577,2000,2002,0,,
"16,24",,160,1579,1995-1999,2002,0,,
24,,160,1594,2002,2002,0,,
24,,160,1597,,2002,0,,
16,,160,2360,1992,2002,0,,1
"16,24,36",,162,151,1995,2002,0,,
"16,24,36",,162,153,1995,2002,0,,
"16,24,36",,162,155,Birth,2002,3,3,3
36,,162,159,2000,2002,0,,
"16,24",,162,160,1994,2002,0,,1
"16,24,36",,162,163,Birth,2002,3,3,3
24,,162,175,1994,2002,0,,1
"16,24",,162,176,2000,2002,0,,
24,,162,177,1995-1999,2002,0,,
"16,24",,162,180,1993,2002,0,,1
"16,24,36",,162,183,1995,2002,0,,
"16,36",,162,193,2000,2001,0,,
"16,36",,162,368,1997,2001,0,,
36,,162,587,2000,2002,0,,
"16,36",,162,1502,2000,2002,0,,
24,,162,1532,2002,2002,0,,
"24,36",,162,1549,2000,2002,0,,
"16,24,36",,162,1564,1980s,2002,0,1,1
36,,162,1567,2000,2002,0,,
24,,162,1576,2002,2002,0,,
"16,24",,162,1579,1995-1999,2002,0,,
"16,24",,162,1597,1995,2002,0,,
16,,162,2360,2000,2002,0,,
"16,24,36",,163,151,1995,2002,0,,
36,,163,153,1995,2003,0,,
"16,24,36",,163,155,Birth,2002,3,3,3
36,,163,159,1991,2002,0,,1
"16,24",,163,160,1991,2002,0,,1
"16,24,36",,163,162,Birth,2002,3,3,3
24,,163,175,1991,2003,0,,1
"16,24",,163,176,2000,2003,0,,
24,,163,177,1995-1999,2003,0,,
"16,24",,163,180,1995,2002,0,,
"16,24,36",,163,183,1991,2003,0,,1
"16,36",,163,368,1991,2001,0,,1
16,,163,373,1991,2001,0,,1
16,,163,376,1991,2001,0,,1
24,,163,524,2002,2002,0,,
16,,163,543,1991,2000,0,,1
24,,163,588,2002,2002,0,,
24,,163,590,2002,2002,0,,
24,,163,1532,2002,2002,0,,
"24,36",,163,1549,1991,2003,0,,1
