Operation_ID,ID,Op_role,Tie_ID,Tie_Year,Tie_Extinguish,Kinship,1985_1989,1990_1994
67,3000,,3001,1985-1989,2005,3,3,3
67,3000,,3002,1985-1989,2005,0,3,3
67,3000,,3003,1985-1989,2005,3,3,3
67,3000,,3004,1985-1989,2005,5,3,3
67,3001,,3000,1985-1989,2005,3,3,3
67,3001,,3002,1985-1989,2005,0,3,3
67,3001,,3003,1985-1989,2005,3,3,3
67,3001,,3004,1985-1989,2005,1,3,3
67,3002,,3000,1985-1989,2005,0,3,3
67,3002,,3001,1985-1989,2005,0,3,3
67,3002,,3003,1985-1989,2005,0,3,3
67,3002,,3004,1985-1989,2005,0,2,2
67,3003,,3000,1985-1989,2005,3,3,3
67,3003,,3001,1985-1989,2005,3,3,3
67,3003,,3002,1985-1989,2005,7,3,3
67,3003,,3004,1985-1989,2005,1,3,3
67,3004,,3000,1985-1989,2005,5,3,3
67,3004,,3001,1985-1989,2005,1,3,3
67,3004,,3002,1985-1989,2005,0,2,2
67,3004,,3003,1985-1989,2005,1,3,3
