,ID,Group,Color,Arrest_Date,Release_Date,Death_Date,1985_1989,1990_1994,Dataset Number,Dataset,Label,Country,City
0,177,,red,,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
1,577,,red,,,9/9/04,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
2,598,,red,1/?/2006,4/?/2008,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
3,800,,red,,,4/29/06,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
4,801,,red,,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
5,802,,red,,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
6,1504,,red,11/5/04,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
7,1506,,red,6/?/2005,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
8,1507,,red,9/16/04,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
9,1509,,red,7/?/2005,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
10,1530,,red,11/5/04,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
11,1534,,red,9/?/2004,?/?/2007,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
12,1541,,red,10/?/2004,12/?/2006,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
13,1553,,red,7/13/04,12/?/2006,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
14,1555,,red,6/30/04,?/?/2011,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
15,1556,,red,7/27/04,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
16,1558,,red,11/5/04,?/?/2014,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
17,1561,,red,7/?/2004,3/?/2007,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
18,1562,,red,6/?/2005,?/?/2012,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
19,1563,,red,6/30/04,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
20,1570,,red,8/?/2004,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
21,1574,,red,,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
22,1579,,red,,,11/9/05,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
23,1580,,red,,,4/29/06,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
24,1582,,red,7/2/05,?/?/2012,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
25,1590,,red,11/5/04,,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
26,1595,,red,7/26/04,3/?/2007,,2,2,1,"Australian Embassy Bombing 2004, Indonesia",AE,Indonesia,
0,151,,Red,10/?/2002,6/14/06,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
1,153,,Red,?/?/2003,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
2,155,,Red,12/?/2002,,11/8/08,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
3,160,,Red,11/21/02,,11/8/08,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
4,162,,Red,11/6/02,,11/8/08,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
5,163,,Red,1/13/03,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
6,175,,Red,,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
7,176,,Red,4/22/03,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
8,177,,Red,,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
9,180,,Red,9/27/02,3/?/2005,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
10,183,,Red,,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
11,189,,Red,,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
12,524,,Red,,,10/12/02,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
13,588,,Red,,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
14,590,,Red,12/3/02,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
15,650,,Red,,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
16,1503,,Red,11/19/02,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
17,1512,,Red,11/26/02,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
18,1513,,Red,11/29/02,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
19,1529,,Red,5/7/03,?/?/2006,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
20,1532,,Red,12/4/02,,3/2/06,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
21,1549,,Red,4/22/03,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
22,1564,,Red,1/13/03,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
23,1576,,Red,,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
24,1579,,Red,,,11/9/05,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
25,1594,,Red,11/21/02,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
26,1597,,Red,6/?/2003,,,2,2,2,"Bali bombings 2002, Indonesia",Bali 2002,Indonesia,Bali
0,177,,Red, ,,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
1,594,,Red,11/17/05,8/17/08,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
2,595,,Red,11/18/05,1/24/10,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
3,596,,Red,11/17/05,5/17/09,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
4,800,,Red,,,4/29/06,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
5,810,,Red,11/10/05,9/1/14,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
6,812,,Red,1/13/06,1/13/12,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
7,814,,Red,1/13/03,,11/9/05,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
8,815,,Red,11/1/05,11/1/20,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
9,816,,Red,1/13/06,1/13/12,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
10,817,,Red,1/19/06,1/19/18,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
11,819,,Red,11/23/05,11/23/14,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
12,820,,Red,1/18/06,1/25/06,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
13,824,,Red,1/1/06,11/29/11,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
14,828,,Red,1/13/06,11/29/16,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
15,829,,Red,,,10/1/05,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
16,830,,Red,,,10/1/05,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
17,831,,Red,,,10/1/05,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
18,834,,Red,1/13/06,11/1/12,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
19,835,,Red,1/18/06, ,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
20,838,,Red,1/1/06,11/29/16,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
21,839,,Red,11/9/05,9/7/24,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
22,840,,Red,,,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
23,841,,Red,,,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
24,1579,,Red,,,11/9/05,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
25,1580,,Red,,,4/29/06,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
26,1605,,Red,,,,2,2,3,"Bali bombings 2005, Indonesia",Bali 2005,Indonesia,Bali
0,151,,Red,10/?/2002,6/14/06,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
1,153,,Red,?/?/2003,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
2,155,,Red,12/?/2002,,11/8/08,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
3,160,,Red,11/21/02,,11/8/08,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
4,162,,Red,11/6/02,,11/8/08,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
5,163,,Red,1/13/03,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
6,164,,Red,12/9/01,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
7,176,,Red,4/22/03,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
8,180,,Red,9/27/02,3/?/2005,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
9,183,,Red,,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
10,189,,Red,,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
11,193,,Red,8/?/2001,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
12,365,,Red,4/27/03,8/?/2007,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
13,368,,Red,12/?/2001,5/?/2006,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
14,373,,Red,12/?/2001,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
15,376,,Red,12/?/2001,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
16,538,,Red,,,?/?/2000,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
17,539,,Red,?/?/2002,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
18,540,,Red,6/?2005,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
19,542,,Red,5/22/03,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
20,543,,Red,,,?/?/2000,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
21,544,,Red,,,?/?/2000,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
22,545,,Red,,,?/?/2000,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
23,546,,Red,,,?/?/2002,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
24,589,,Red,?/?/2002,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
25,650,,Red,,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
26,1502,,Red,1/21/03,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
27,1508,,Red,1/?/2001,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
28,1517,,Red,5/?/2003,?/?/2006,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
29,1518,,Red,?/?/2001,6/?/2006,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
30,1521,,Red,6/12/03,?/?/2007,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
31,1527,,Red,1/16/01,?/?/2005,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
32,1546,,Red,1/13/01,?/?/2005,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
33,1559,,Red,6/?/2003,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
34,1564,,Red,1/13/03,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
35,1565,,Red,2/16/04,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
36,1566,,Red,?/?/2001,?/?/2004,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
37,1568,,Red,,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
38,1573,,Red,,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
39,1576,,Red,,,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
40,1577,,Red,11/25/02,1/15/07,,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
41,1579,,Red,,,11/9/05,2,2,4,"Christmas Eve bombings 2000, Indonesia",CE,Indonesia,
