Source,Target,Type,Id,Label,timeset,Weight,operation_id,op_role,tie_year,tie_extinguish,kinship,1985_1989,1990_1994
3100,3101,Directed,4660,,,1,38,,1995,2001,0,,
3100,3104,Directed,4661,,,1,38,,1995,,0,,
3100,3106,Directed,4662,,,1,38,,2000-2,,0,,
3100,318,Directed,4663,,,1,38,,1999,,0,,
3100,3133,Directed,4664,,,1,38,,1996,,0,,
3100,3135,Directed,4665,,,1,38,,2001-2,,0,,
3101,3100,Directed,4666,,,1,38,,1995,2001,0,,
3104,3100,Directed,4667,,,1,38,,1995,,0,,
3104,3106,Directed,4668,,,1,38,,2000-2,,0,,
3104,318,Directed,4669,,,1,38,,1999,,0,,
3104,3133,Directed,4670,,,1,38,,1996,,0,,
3104,3138,Directed,4671,,,1,38,,2001-2,,0,,
3106,3100,Directed,4672,,,1,38,,2000-2,,0,,
3106,3104,Directed,4673,,,1,38,,2000-2,,0,,
3106,318,Directed,4674,,,1,38,,1999,,0,,
3106,3132,Directed,4675,,,1,38,,2001-1,,0,,
3106,3136,Directed,4676,,,1,38,,2001-1,,0,,
3106,3138,Directed,4677,,,1,38,,2001-2,,0,,
318,3100,Directed,4678,,,1,38,,1999,,0,,
318,3104,Directed,4679,,,1,38,,1999,,0,,
318,3106,Directed,4680,,,1,38,,1999,,0,,
3132,3106,Directed,4681,,,1,38,,2001-1,,0,,
3132,3134,Directed,4682,,,1,38,,1999,,0,,
3132,3135,Directed,4683,,,1,38,,2000,,0,,
3132,3136,Directed,4684,,,1,38,,2001,,1,,
3132,3137,Directed,4685,,,1,38,,2002-2,,0,,
3132,3138,Directed,4686,,,1,38,,2002-2,,0,,
3132,3139,Directed,4687,,,1,38,,2003-2,,0,,
3132,3140,Directed,4688,,,1,38,,2003-1,,0,,
3132,3141,Directed,4689,,,1,38,,2004-1,,0,,
3132,3142,Directed,4690,,,1,38,,2002-2,,0,,
3132,3143,Directed,4691,,,1,38,,2002-2,,0,,
3132,3144,Directed,4692,,,1,38,,2003-2,,0,,
3132,3145,Directed,4693,,,1,38,,2003-2,,0,,
3132,3147,Directed,4694,,,1,38,,2003-2,,0,,
3132,3148,Directed,4695,,,1,38,,2003-2,,0,,
3132,3149,Directed,4696,,,1,38,,2003-1,,0,,
3132,3150,Directed,4697,,,1,38,,2004-1,,0,,
3132,3156,Directed,4698,,,1,38,,2002-2,,0,,
3132,3157,Directed,4699,,,1,38,,1996,,0,,
3132,3161,Directed,4700,,,1,38,,2002-2,,0,,
3132,3162,Directed,4701,,,1,38,,2004-1,,0,,
3132,3179,Directed,4702,,,1,38,,2002-2,,0,,
3132,3180,Directed,4703,,,1,38,,2003-2,,0,,
3133,3100,Directed,4704,,,1,38,,1996,,0,,
3133,3104,Directed,4705,,,1,38,,1996,,0,,
3134,3132,Directed,4706,,,1,38,,1999,,0,,
3134,3140,Directed,4707,,,1,38,,2003-1,,0,,
